"Gene_name";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"diffexpressed"
"211";"Bhlhe40";19957.66;2.487;0.072;34.753;0;0;"Upregulated"
"212";"Hrh1";119.011;1.273;0.235;5.426;0;0;"Upregulated"
"213";"Plxnd1";306.465;1.607;0.15;10.728;0;0;"Upregulated"
"214";"Rassf4";18.004;-2.768;0.609;-4.549;0;0;"Downregulated"
"215";"Zfp9";405.927;1.38;0.144;9.555;0;0;"Upregulated"
"216";"B4galnt3";4358.216;-1.171;0.061;-19.161;0;0;"Downregulated"
"217";"Slc25a18";35.183;3.634;0.483;7.531;0;0;"Upregulated"
"218";"Slc6a12";24.399;2.97;0.522;5.695;0;0;"Upregulated"
"219";"Apobec1";1464.219;1.893;0.072;26.2;0;0;"Upregulated"
"220";"Olr1";18.746;3.108;0.602;5.164;0;0;"Upregulated"
"221";"Slco1a5";224.004;-1.539;0.163;-9.421;0;0;"Downregulated"
"222";"Sspn";1075.488;1.188;0.09;13.15;0;0;"Upregulated"
"223";"Cacng7";122.368;1.022;0.232;4.404;0;0;"Upregulated"
"224";"Il11";150.405;1.351;0.191;7.084;0;0;"Upregulated"
"225";"Sbk2";71.227;2.144;0.281;7.62;0;0;"Upregulated"
"226";"Sbk3";219.592;1.708;0.167;10.226;0;0;"Upregulated"
"227";"Pglyrp1";83.473;-2.014;0.288;-6.991;0;0;"Downregulated"
"228";"Fosb";408.707;1.098;0.119;9.21;0;0;"Upregulated"
"229";"Ppp1r13l";4099.665;1.021;0.059;17.233;0;0;"Upregulated"
"230";"Nkpd1";92.978;-1.024;0.236;-4.334;0;0;"Downregulated"
"231";"Ceacam19";75.384;-1.766;0.278;-6.352;0;0;"Downregulated"
"232";"Numbl";128.429;1.174;0.199;5.891;0;0;"Upregulated"
"233";"Iglon5";22.108;3.883;0.621;6.252;0;0;"Upregulated"
"234";"Siglecl1";14.143;3.913;0.811;4.827;0;0;"Upregulated"
"235";"Cd33";323.353;3.249;0.172;18.901;0;0;"Upregulated"
"236";"Klk10";1703.017;-1.33;0.069;-19.245;0;0;"Downregulated"
"237";"Klk6";249.912;-2.051;0.175;-11.745;0;0;"Downregulated"
"238";"Ftl1";27024.632;1.003;0.06;16.833;0;0;"Upregulated"
"239";"Fut2";45.255;-2.767;0.402;-6.883;0;0;"Downregulated"
"240";"Dbp";709.745;-1.28;0.103;-12.479;0;0;"Downregulated"
"241";"Zscan2";457.72;1.009;0.129;7.84;0;0;"Upregulated"
"242";"Bnc1";2128.728;1.587;0.065;24.492;0;0;"Upregulated"
"243";"Gm20744";49.758;1.864;0.328;5.686;0;0;"Upregulated"
"244";"Adamtsl3";16.94;4.246;0.794;5.347;0;0;"Upregulated"
"245";"Mex3b";395.62;1.208;0.134;9.022;0;0;"Upregulated"
"246";"Gm2115";41.324;1.636;0.349;4.693;0;0;"Upregulated"
"247";"Nox4";900.565;1.161;0.088;13.225;0;0;"Upregulated"
"248";"Prss23";3076.749;2.875;0.07;41.264;0;0;"Upregulated"
"249";"Me3";186.25;2.277;0.176;12.916;0;0;"Upregulated"
"250";"Ywhaq-ps1";43.299;3.405;0.434;7.847;0;0;"Upregulated"
"251";"Myo7a";1086.016;3.034;0.099;30.635;0;0;"Upregulated"
"252";"Omp";90.536;-1.273;0.244;-5.22;0;0;"Downregulated"
"253";"Dgat2";806.386;1.223;0.096;12.674;0;0;"Upregulated"
"254";"Map6";62.521;3.57;0.356;10.018;0;0;"Upregulated"
"255";"Relt";371.91;1.6;0.126;12.701;0;0;"Upregulated"
"256";"P2ry6";294.361;2.515;0.147;17.112;0;0;"Upregulated"
"257";"P2ry2";1391.29;-1.538;0.08;-19.258;0;0;"Downregulated"
"258";"Usp17la";118.382;1.023;0.203;5.033;0;0;"Upregulated"
"259";"Mical2";897.446;1.018;0.092;11.054;0;0;"Upregulated"
"260";"Spon1";28.514;5.001;0.695;7.192;0;0;"Upregulated"
"261";"Gprc5b";63.55;-1.835;0.332;-5.524;0;0;"Downregulated"
"262";"Il4ra";2845.046;1.077;0.058;18.412;0;0;"Upregulated"
"263";"Atp2a1";88.311;2.152;0.255;8.45;0;0;"Upregulated"
"264";"Spn";1183.772;1.598;0.09;17.789;0;0;"Upregulated"
"265";"Gm18561";43.234;2.601;0.375;6.939;0;0;"Upregulated"
"266";"Fank1";131.595;2.53;0.225;11.226;0;0;"Upregulated"
"267";"Adam12";4007.694;1.605;0.062;25.931;0;0;"Upregulated"
"268";"D7Ertd443e";21.549;3.112;0.566;5.498;0;0;"Upregulated"
"269";"Adgra1";558.463;5.201;0.17;30.639;0;0;"Upregulated"
"270";"Lsp1";566.069;1.851;0.124;14.971;0;0;"Upregulated"
"271";"Phlda2";374.734;-1.377;0.144;-9.577;0;0;"Downregulated"
"272";"Ano1";933.892;1.265;0.088;14.302;0;0;"Upregulated"
"273";"5830408C22Rik";131;1.027;0.192;5.362;0;0;"Upregulated"
"274";"Fgfr1";92.856;3.214;0.292;10.993;0;0;"Upregulated"
"275";"Adgra2";79.993;-1.142;0.251;-4.558;0;0;"Downregulated"
"276";"5430403N17Rik";33.457;2.382;0.43;5.542;0;0;"Upregulated"
"277";"Mtmr7";37.399;2.046;0.372;5.492;0;0;"Upregulated"
"278";"Pdgfrl";33.026;1.847;0.404;4.573;0;0;"Upregulated"
"279";"Vegfc";745.617;1.598;0.098;16.256;0;0;"Upregulated"
"280";"ENSMUSG00000119995";76.96;-1.233;0.274;-4.495;0;0;"Downregulated"
"281";"Palld";2673.017;2.124;0.064;33.026;0;0;"Upregulated"
"282";"Sh2d4a";1048.545;1.586;0.084;18.789;0;0;"Upregulated"
"283";"Crlf1";894.937;1.183;0.114;10.417;0;0;"Upregulated"
"284";"Gm3336";63.31;-1.332;0.309;-4.316;0;0;"Downregulated"
"285";"Gm7850";13.011;4.078;0.847;4.815;0;0;"Upregulated"
"286";"Hhip";663.649;-1.411;0.107;-13.194;0;0;"Downregulated"
"287";"Misp3";340.505;-1.008;0.182;-5.549;0;0;"Downregulated"
"288";"Junb";20439.315;1.842;0.075;24.416;0;0;"Upregulated"
"289";"Adgrg1";1713.811;2.285;0.073;31.144;0;0;"Upregulated"
"290";"Smpd3";589.825;-1.152;0.114;-10.129;0;0;"Downregulated"
"291";"Hp";21.787;-2.441;0.528;-4.627;0;0;"Downregulated"
"292";"Cotl1";4223.503;1.81;0.054;33.517;0;0;"Upregulated"
"293";"A330074K22Rik";107.087;2.476;0.232;10.683;0;0;"Upregulated"
"294";"Irf8";492.093;-1.606;0.117;-13.71;0;0;"Downregulated"
"295";"Foxl1";41.284;1.753;0.362;4.843;0;0;"Upregulated"
"296";"Zfp469";1326.536;4.786;0.134;35.814;0;0;"Upregulated"
"297";"Cbfa2t3";43.382;-1.517;0.351;-4.322;0;0;"Downregulated"
"298";"Fam89a";54.048;1.552;0.31;5.006;0;0;"Upregulated"
"299";"Mmp13";1087.494;1.015;0.092;10.984;0;0;"Upregulated"
"300";"Mmp12";24.623;2.914;0.509;5.729;0;0;"Upregulated"
"301";"Mmp10";576.282;1.095;0.119;9.2;0;0;"Upregulated"
"302";"Sesn3";3223.287;1.223;0.074;16.638;0;0;"Upregulated"
"303";"Endod1";5288.412;1.273;0.057;22.368;0;0;"Upregulated"
"304";"Olfm2";730.611;4.674;0.134;34.766;0;0;"Upregulated"
